cell_id,age_group,gender,municipality,education_level,past_vote,expected_N_raked,age,biography
18050,71-104,Men,Gagnef,"Primary school, shorter than 9 years",Social Democrats (S),63.20984535281595,93,"I was born in the spring of 1933, in a small wooden house on the outskirts of Gagneviken, a hamlet that later became part of the municipality of Gagnef. My earliest memories are of the long, cold winters when the snow piled up to the windowsill and my mother would light a thick stove to keep the house warm while we listened to the radio’s crackling news. My father was a forest worker, and after I turned ten I left the tiny school that had only eight grades to help him fell trees, haul timber, and tend the family garden. Formal education was a luxury we could not afford, but the forest taught me lessons that no classroom ever could.

When I was seventeen I was conscripted into the Swedish Armed Forces for a year of service. The experience broadened my horizons; I met young men from Stockholm, Malmö and the far north, and we shared stories over coffee in the mess hall. After my service I returned to Gagnef and took a job at the local sawmill. The work was hard, the hours long, but there was a deep satisfaction in seeing a raw log become a sturdy beam that would later support a house or a school.

In 1955 I married my childhood sweetheart, a bright‑eyed girl from the neighboring farm who taught me how to bake the best cinnamon buns in the parish. Together we raised three children—two sons and a daughter—who have since moved to larger towns, but they always come back for the family gatherings at our old cottage by the lake. My grandchildren now visit every summer, and I love teaching them how to cast a line into the clear water, how to identify the call of the black woodpecker, and how to respect the land that has given us so much.

The post‑war years were a time of great change in Sweden. I watched the country build a welfare state that promised health care, schooling, and a safety net for everyone, no matter where they lived. The Social Democratic Party’s vision of solidarity and equality resonated with me because it meant that a man who had never finished school could still receive a pension, medical care, and the chance for his children to attend a good school. I have voted for the Social Democrats in every election I have been able to cast a ballot, not out of blind loyalty, but because their policies have kept our small community alive, supported the forest workers, and ensured that the elderly like me are cared for with dignity.

Now, at ninety‑three, I spend my days walking the familiar trails that wind through pine and birch, listening to the river’s gentle murmur, and sitting on the porch with a cup of strong black tea. I take pleasure in simple things: the scent of fresh‑cut wood, the laughter of my great‑grandchildren, and the quiet camaraderie of the senior council meetings where we discuss everything from road maintenance to the best way to preserve our local dialect. My values are rooted in hard work, respect for nature, and a belief that a society should look after its most vulnerable members. Though my formal schooling was brief, life has been my teacher, and I remain grateful for the community that has nurtured me for more than nine decades."
18673,51-60,Women,Borlänge,"Tertiary education, 2 years or longer",Social Democrats (S),283.25113589815766,57,"I am a 57‑year‑old woman living in Borlänge, a vibrant town nestled in the heart of Dalarna. I grew up in a modest household not far from the river Dalälven, and from an early age I learned the importance of community, hard work, and looking after one another—values that have guided me throughout my life.

After finishing my secondary studies, I pursued a two‑year university program in social work at the University of Gävle, followed by a bachelor’s degree in public health at Uppsala. My education opened doors to a career that has been both challenging and rewarding: I spent the bulk of my professional life as a municipal social worker, first in the city’s youth services and later in the elder‑care department. The job allowed me to see the everyday realities of families, the elderly, and newcomers alike, and it reinforced my belief that a strong welfare state is the backbone of a just society.

In 2018 I decided to transition to a part‑time role as a mentor for young adults entering the labour market, a position that lets me share the lessons I have learned while still keeping a connection to the issues that matter most to me. I am approaching the age when many of my colleagues begin to think about retirement, but I feel energized by the prospect of staying involved—perhaps by volunteering at the local library or by joining the town’s environmental committee, where we lobby for greener public transport and more bike lanes.

My personal life is anchored by my family. My two children are now grown, living in Stockholm and Malmö, and I am the proud grandmother of four lively grandchildren who visit every summer. Their curiosity and boundless energy remind me daily why I have always championed education and equal opportunities. When I’m not at work or caring for family, I love to explore the surrounding countryside. Hiking in the forested hills around Orsa, cross‑country skiing in the winter, and taking leisurely walks along the lake are my ways of recharging. I also enjoy traditional Swedish folk music, and I’m a regular at the local folk dance evenings where I can spin a waltz with friends from all walks of life.

Politically, I have consistently voted for the Social Democrats. Their commitment to a robust public sector, affordable healthcare, and a fair tax system resonates with my own experiences as both a beneficiary and a contributor to the welfare model. I am an active member of the local party branch, where I help organize community forums on topics ranging from housing affordability to climate action. I believe that democracy thrives when citizens are engaged, and I try to set an example for the younger generation by staying informed and involved.

In short, I am someone who values solidarity, lifelong learning, and the simple pleasures of Swedish nature. My journey—from a small‑town upbringing to a career dedicated to public service, and now to a phase of mentorship and community activism—reflects a deep‑seated conviction that we are all responsible for building a society where everyone can thrive."
3305,41-50,Men,Eskilstuna,"Tertiary education, shorter than 2 years",Social Democrats (S),156.89780250409257,41,"I’m a 41‑year‑old man living in Eskilstuna, a midsized town on the banks of the Eskilstuna River that has a strong industrial heritage and a growing cultural scene. I grew up in a modest household; my parents worked at the local paper mill and later in municipal services, which gave me an early appreciation for the importance of community, steady work, and the social safety net that Sweden is known for.

After finishing gymnasium, I enrolled in a two‑year technical program at a nearby university college, focusing on mechanical engineering and automation. The short‑term, hands‑on curriculum suited me better than a long academic track, and I earned a diploma that opened doors to the manufacturing sector. For the past fifteen years I have worked as a maintenance supervisor at a company that produces components for the automotive industry. My role involves coordinating a small team of technicians, scheduling preventive maintenance, and ensuring that we meet the strict safety and environmental standards that Swedish law mandates. I enjoy the blend of problem‑solving, teamwork, and the tangible sense of keeping the production line running smoothly.

Family life is the centre of my world. I’m married and have two children, a 12‑year‑old daughter and a 9‑year‑old son. Weekends are a mix of school runs, helping with homework, and family outings. We love exploring the surrounding countryside—hiking in the forested hills around Lake Mälaren, cycling along the river, and occasionally taking a short ferry trip to the archipelago for a summer barbecue. My daughter is passionate about music and plays the violin; my son is an avid football fan and plays for the local youth team. I try to be as present as possible, whether that means cheering from the sidelines or attending school concerts.

Politically, I have consistently supported the Social Democrats. The party’s focus on a strong welfare state, universal healthcare, and policies that protect workers resonates with my own experiences and values. I believe that a society should provide everyone with a decent standard of living, good education, and the chance to participate fully in civic life. I’m an active member of the local Social Democratic branch, where I volunteer during election campaigns and help organise community forums on topics such as affordable housing and climate‑friendly public transport.

In my spare time I enjoy reading non‑fiction, especially books about Swedish social history and the evolution of the labour movement. I’m also a regular at the city’s public library, where I sometimes attend talks on sustainability and digital innovation. When the weather permits, I head to the ice‑rink with friends for a game of bandy—a classic Swedish winter sport that reminds me of my own school days.

Overall, I see myself as a pragmatic, community‑oriented person who values solidarity, fairness, and the small‑scale actions that keep our town thriving. I’m proud of my roots in Eskilstuna, grateful for the opportunities my education and work have given me, and hopeful that the next generation will inherit a society that continues to balance economic progress with social responsibility."
22578,71-104,Women,Kalix,"Primary school, shorter than 9 years",Social Democrats (S),90.2606410111015,80,"I was born in the spring of 1946 in a small wooden house on the edge of Kalix, a quiet municipality tucked along the river in the far north of Sweden. My parents were farmers; the land stretched out in endless rows of rye and potatoes, and the seasons marked the rhythm of our lives. School was a modest one‑room building in the village, and I attended only until I was about nine years old. Formal education stopped there, but learning never did – the world taught me its lessons through work, family, and the community that surrounded us.

When I was a teenager, I left school to help my mother with the harvest and later to work in the local sawmill. The work was hard, the air thick with sawdust, but it gave me a sense of purpose and a deep respect for the people who built our town’s livelihood. In those years I also learned to knit, a skill passed down from my grandmother. The rhythmic click of needles became a meditative ritual, and the scarves and sweaters I made found their way to friends, neighbours, and eventually my own grandchildren.

In the 1960s, the Social Democratic Party’s promise of a stronger welfare state resonated with my own hopes for a fairer society. I voted for them in my first election and have continued to support their vision of universal healthcare, free education, and a safety net for the elderly. The reforms that followed—public pensions, improved medical services, and better schools for my children—were not abstract policies to me; they were the very things that made my family’s life more secure.

I married a kind-hearted man from the nearby village, and together we raised three children. We taught them the value of hard work, humility, and solidarity. Today, two of my children live in larger towns, but they return to Kalix for holidays, bringing fresh ideas and stories from the cities. My grandchildren, who grew up with smartphones and the internet, are a source of endless fascination for me; I love listening to their digital adventures while I share tales of life before electricity reached every corner of our community.

Even at eighty, I find joy in simple pleasures. I still tend a modest garden behind my house, growing carrots, beetroot, and the occasional dill to flavor the soups I make for my neighbours. On crisp winter evenings, I sit by the fire, listening to the crackle and the distant hum of the river, and I recall the days when the whole town gathered in the modest church hall to sing hymns and discuss the news of the day. I am grateful for the strong sense of community that still thrives in Kalix; we look out for one another, share food, and help each other with snow‑shovelling or small repairs.

My values are rooted in empathy, equality, and a belief that every person, regardless of age or background, deserves dignity and respect. I have seen Sweden transform from a post‑war agrarian society into a modern welfare state, and I cherish the progress we have made while staying humble about the work that remains. Life has taught me that kindness, perseverance, and a willingness to lend a hand are the true measures of a good society, and I try to embody those principles every day, whether I’m knitting a blanket for a new mother, offering advice to a young farmer, or simply sharing a warm smile with a passer‑by."
1385,71-104,Men,Stockholm,Upper secondary school,Sweden Democrats (SD),2007.484901830388,80,"I was born in the spring of 1946, just as the world was beginning to rebuild after the war. My childhood was spent in a modest apartment in Södermalm, where the cobblestone streets and the scent of fresh‑baked rye bread defined my early years. My parents were both factory workers, and they taught me the value of hard work, honesty, and looking out for one’s neighbours. I attended a local upper‑secondary school (gymnasium) where I completed my studies in 1965, focusing on practical subjects such as mathematics, Swedish literature, and basic engineering. University was never on the table for me; instead, I entered the workforce straight away, first as an apprentice carpenter and later as a foreman at a shipyard on the Baltic coast.

The 1970s were a time of rapid change in Sweden. I watched the country grow richer, the welfare state expand, and the social fabric stretch in new directions. I married my wife, a schoolteacher, in 1969, and together we raised three children in a small townhouse on the outskirts of Stockholm. Family life has always been the centre of my world; we spent weekends picnicking in Tantolunden, fishing on Lake Mälaren, and later, as the grandchildren arrived, teaching them how to tie their shoes and how to respect the rules that keep a community safe.

My professional life was grounded in the blue‑collar world. After a decade at the shipyard, I moved to a municipal maintenance job that kept the streets clean and the public parks well‑kept. I retired at 65, but I never truly stopped working. I now volunteer as a mentor at a local senior centre, helping younger retirees navigate the shift from full‑time employment to a quieter pace. I also enjoy a daily walk along the waterfront, listening to the gulls and watching the ferries glide past, and I never miss a game of ice hockey—especially when our national team makes it to the World Championships.

Politically, I have always felt a strong attachment to Sweden’s traditions and the idea of a cohesive society. Over the years I have become increasingly concerned about the rapid demographic changes, the strain on public services, and the erosion of what I consider the core values that built our nation. In the last few elections I voted for the Sweden Democrats because I believed they were the party most willing to address issues such as immigration control, law and order, and the preservation of Swedish culture. I respect democratic processes and I am convinced that a nation must protect its identity while still caring for those who truly belong to its community.

My values can be summed up in three words: responsibility, respect, and resilience. I believe that every citizen should take personal responsibility for his or her actions, that we must respect the law and each other’s rights, and that a society’s strength lies in its ability to endure hardships without losing its moral compass. I am proud of the life I have lived—a life shaped by hard work, family, and a deep love for the city that raised me. Even at eighty, I remain hopeful that the next generations will find a balance between openness and the preservation of the traditions that have made Sweden the safe, prosperous place we all cherish."
1361,51-60,Men,Stockholm,Upper secondary school,Other party,398.39118018921806,52,"I am a 52‑year‑old man living in the heart of Stockholm, a city that has been both my home and my classroom for the past three decades. I grew up in a modest suburb on the outskirts of the capital, the son of a school‑teacher mother and a carpenter father. Our household was never affluent, but it was rich in curiosity and hard work. After completing my upper secondary education at a vocational program focused on mechanical engineering, I entered the workforce directly, forgoing university in favor of practical experience.

My career began on an assembly line at a large manufacturing plant in the Södermalm district. The early years were demanding—long shifts, tight deadlines, and a steep learning curve—but they taught me the value of precision, teamwork, and perseverance. Over time I moved into supervisory roles, eventually becoming a shift manager responsible for a crew of twenty‑plus workers. I have always taken pride in fostering a safe, inclusive environment where every hand on the floor feels respected and heard.

Outside of work, I am an avid cyclist. Stockholm’s archipelago and its network of bike lanes provide endless routes for weekend rides, whether I’m cruising along the water’s edge in Djurgården or tackling the hillier streets of Hägersten. Cycling keeps me grounded, offers a chance to clear my mind, and connects me to the city’s growing sustainability movement—something I support not just in theory but in daily practice. I also enjoy tinkering in my garage, restoring an old Volvo 240 that I bought for a bargain a few years ago. The project is a labor of love, a reminder that patience and attention to detail can bring new life to something considered obsolete.

Family occupies the centre of my life. I share a small, sun‑filled apartment with my partner of twenty‑seven years, and together we have raised two children who are now studying at university. Our household is a blend of traditional Swedish values—equality, humility, and a strong social safety net—and a progressive outlook that embraces diversity and environmental responsibility. We often host dinner gatherings for friends from various cultural backgrounds, believing that dialogue over food is one of the most effective ways to build understanding.

Politically, I have never felt comfortable aligning with the major parties. In the last election I voted for a smaller, issue‑focused party that champions direct democracy, stronger local governance, and pragmatic solutions to climate change. My voting choice reflects a belief that politics should be rooted in the everyday concerns of ordinary people rather than grand ideological battles. I am skeptical of rhetoric that promises quick fixes; instead, I look for policies that are transparent, evidence‑based, and accountable.

My values are shaped by the lessons of my upbringing: hard work, fairness, and a commitment to community. I believe that a good society is built on mutual respect, where each individual’s contribution—whether on a factory floor, a bicycle path, or a family kitchen—is recognized. I am hopeful for the future, especially as I watch younger generations take up activism, technology, and art with a vigor that feels both urgent and hopeful. As I continue to navigate my own middle age, I aim to stay curious, stay engaged, and keep contributing—both in my profession and in the small ways that make our city, and our country, a better place to live."
13652,71-104,Women,Uddevalla,"Primary school, 9/10 years",Left Party (V),10.69840713976718,104,"I was born in the summer of 1922 in a small farmhouse just outside Uddevalla, and I have spent almost every day of my 104 years watching the world change from the view of the same modest garden that my parents tended. My childhood was shaped by the rhythm of the seasons, the hum of the nearby sawmill, and the stories my mother whispered while we mended clothes by candlelight. Formal schooling ended after nine years, the highest level offered in our village at the time, but those lessons—reading, arithmetic, and the Swedish language—became the tools that carried me through a life of hard work and quiet curiosity.

When the war clouds gathered over Europe in the late 1930s, Sweden remained neutral, yet the tension was palpable even in our corner of Bohuslän. I remember ration cards arriving at the door and my father’s careful budgeting of butter and sugar. The war taught me early on how communities must look after one another, a lesson that stayed with me long after the guns fell silent.

After the war, I left school to help my mother run the household and later took a job at the local textile mill. The work was demanding—long hours on noisy looms, the smell of oil and wool filling the air—but it also introduced me to a sisterhood of women who shared stories, songs, and a fierce desire for fairness. It was in those break‑room conversations that I first heard the ideas that would later draw me to the Left Party (Vänsterpartiet). The party’s focus on workers’ rights, gender equality, and a strong welfare state resonated with the values I had lived by: solidarity, compassion, and the belief that no one should be left behind.

In my thirties I married a fisherman from the harbor, and together we raised three children in a modest terraced house near the town centre. My days were a tapestry of cooking, sewing, and caring for the garden that became my sanctuary. I learned to knit intricate patterns from my grandmother and later taught those skills to my grandchildren, who now live in Stockholm and Gothenburg. The garden, too, grew with me—first a patch of potatoes and carrots, later a riot of perennials, strawberries, and a small apple tree that still bears fruit every autumn.

When I retired from the mill in the late 1960s, I devoted my energy to the local seniors’ association and the community library. I organized reading circles, helped translate pamphlets about social reforms, and participated in demonstrations for better public transport and affordable housing. Voting for the Left Party has always felt like a natural extension of those efforts; I have watched the party champion policies that protect the elderly, expand childcare, and fight climate change—issues that matter deeply to someone who has seen both the industrial boom of the 20th century and the urgent need to preserve our natural coastlines.

Now, at 104, my mornings begin with a walk along the Göta älv, where I breathe the salty air and greet neighbours who still remember the days when the railway line was a lifeline for the town. I spend afternoons knitting, listening to folk songs on the radio, and sharing anecdotes with my great‑grandchildren, who are fascinated by the stories of a world without smartphones. My life has been simple, grounded in family, community, and a steadfast belief that we are stronger when we look out for each other. I may be old, but my heart still beats with the same hope and determination that guided me through a century of change."
1247,23-30,Women,Sollentuna,"Tertiary education, 2 years or longer",Left Party (V),60.55849602451002,30,"I’m a thirty‑year‑old woman living in the leafy suburb of Sollentuna, just north of Stockholm. I grew up in a modest, multicultural neighbourhood where my parents, both teachers, emphasized the importance of curiosity, solidarity and public service. After finishing gymnasium, I enrolled in a two‑year master’s programme in environmental science at Stockholm University, where I discovered a passion for translating scientific findings into practical policies that can improve everyday life.

Since graduating, I have worked as a sustainability analyst for a midsize tech firm that develops smart‑energy solutions for Swedish households. My day‑to‑day tasks involve assessing the carbon footprint of new products, coordinating with municipal planners, and drafting reports that help our clients meet the nation’s ambitious climate targets. I love the mix of data‑driven work and the chance to see tangible results—like a local school that recently switched to a solar‑powered heating system after we presented a cost‑benefit analysis.

Outside of work, I’m an avid cyclist and a regular participant in the “Bike to Work” campaign that sweeps through Stockholm County each spring. Riding along the green corridors that connect Sollentuna to the archipelago reminds me how important accessible public transport and safe cycling infrastructure are for reducing emissions and fostering community health. I also volunteer once a month at a community garden in the nearby Åkersberga district, where I help organise workshops on organic gardening and composting. These hands‑on experiences keep me grounded and connect me with neighbours from diverse backgrounds.

Culture and creativity play a big part of my life as well. I’m a member of a local reading circle that meets at the Sollentuna library, where we discuss contemporary Swedish authors and the works of international writers who tackle social justice themes. I’m currently reading a collection of essays on feminist economics, which dovetails nicely with my belief that a fair society must address gender pay gaps, childcare support, and affordable housing.

Politically, I have consistently voted for the Left Party (V) because their commitment to a strong welfare state, workers’ rights and an aggressive climate agenda aligns with my own values. I stay engaged by attending town‑hall meetings, signing petitions for increased public funding of renewable projects, and supporting grassroots campaigns that demand equitable access to education and healthcare.

Looking ahead, I hope to combine my professional expertise with more direct advocacy, perhaps by pursuing a part‑time policy fellowship that focuses on municipal climate resilience. In the meantime, I continue to enjoy the simple pleasures of a weekend fika with friends, the crisp Scandinavian autumn walks through the local nature reserve, and the sense that, in a place like Sollentuna, I can contribute to building a more inclusive, sustainable future for everyone."
19004,61-70,Men,Ludvika,Upper secondary school,Sweden Democrats (SD),348.1429316166944,69,"I was born in 1954 in a modest house on the outskirts of Ludvika, a town that has always felt like home to me. My parents were both workers – my father at the local paper mill and my mother in the school kitchen. They taught me the value of hard work, honesty, and looking after the people around you. I attended the local comprehensive school and, after finishing my upper‑secondary education in 1973, I entered the workforce rather than pursuing university studies.

For most of my adult life I was employed at the steel‑production plant that has been a cornerstone of Ludvika’s economy. I started on the shop floor, learning the ropes of the furnaces and the rhythm of the shifts. Over the years I was promoted to foreman, a role that gave me the chance to mentor younger colleagues and to see how a well‑run operation could benefit both the company and the community. When the plant downsized in the early 2000s I moved to a job as a logistics driver for a regional transport firm, delivering timber and building materials across Dalarna. I retired three years ago, just as the pandemic was easing, and now I spend my days enjoying the quieter pace of life that retirement brings.

Family has always been at the centre of my world. My wife of forty‑five years still works part‑time at the local pharmacy, and together we have raised three children who have gone on to build their own families. I am a proud grandfather to seven grandchildren, and the afternoons we spend together fishing on Lake Väsman or building simple wooden toys in the garden are some of my most treasured moments. Those simple, inter‑generational bonds remind me why community matters so much.

My interests are rooted in the landscape that surrounds Ludvika. I love walking through the pine forests, especially in the crisp autumn when the leaves turn gold and the air carries the scent of fresh bark. I am an avid hunter and have been a member of the local hunting association for decades; the discipline and respect for nature that hunting teaches have always resonated with me. In winter I strap on my cross‑country skis and glide across the frozen fields, a tradition that connects me to the generations before me.

Politically, I have always felt a strong attachment to Swedish traditions and the welfare system that allowed my parents to provide for my family. Over the years I have become increasingly concerned about the rapid changes we see in society – especially regarding immigration policies, law and order, and the preservation of our cultural heritage. In the last election I voted for the Sweden Democrats because I believed they would put a stronger emphasis on securing borders, protecting Swedish values, and ensuring that the welfare state remains sustainable for people like my children and grandchildren.

I am not a man of grand theories, but rather someone who believes that a stable society is built on responsibility, respect for the rule of law, and a shared sense of identity. I enjoy lively discussions at the local café, where I listen to differing viewpoints but always return to the core belief that we must look after each other, preserve our environment, and keep the country we love safe and prosperous for future generations."
20490,31-40,Women,Bräcke,"Tertiary education, 2 years or longer",Did not vote,10.069155734210897,31,"I’m a 31‑year‑old woman living in Bräcke, a small but lively municipality tucked away in the heart of Jämtland. The surrounding forests, lakes and rolling hills shape a lot of my daily rhythm; I love waking up to the crisp, pine‑scented air and the distant call of a loon on the water. Even though Bräcke’s population is modest, the sense of community feels surprisingly strong, and I’ve spent most of my adult life cultivating connections both within the town and beyond its borders.

After finishing high school, I pursued a two‑year master’s program in Environmental Science at Umeå University. The coursework—ranging from ecosystem management to climate policy—gave me a solid scientific foundation and sparked a lasting curiosity about how societies can live more sustainably. When I completed my degree, I returned to Bräcke because I wanted to apply what I’d learned in a place I love, and because my family still lives here. I now work part‑time as a consultant for a regional environmental NGO, helping local businesses and municipalities develop greener practices, from waste‑reduction plans to renewable‑energy feasibility studies. The job lets me blend field work—sometimes hiking up to a nearby mountain to assess a potential wind‑farm site—with office tasks, and it feels rewarding to see tangible improvements in the community.

Outside of work, I’m an avid reader. My shelves are a mix of contemporary Swedish fiction, classic literature, and the latest research on climate resilience. I also play the acoustic guitar, a hobby I picked up during university when late‑night jam sessions became a welcome break from heavy coursework. Music is my way of unwinding, and I often perform at informal gatherings in the local café, where a small crowd of friends and neighbors enjoy folk tunes and occasional original songs.

I’m deeply committed to equality and social inclusion. Growing up in a rural area, I saw how limited access to services—like public transport, childcare, and higher education—can isolate people, especially women and younger residents. That awareness fuels my volunteer work with a local women’s group that offers mentorship and skill‑building workshops. We aim to create a space where anyone can explore new career paths, learn digital tools, or simply share experiences over a cup of coffee.

Although I didn’t cast a ballot in the last national election, I stay politically engaged through discussion forums, community meetings, and by writing op‑eds for the regional newspaper. I believe that civic participation isn’t limited to voting; it also includes pressing elected officials for transparency, organizing grassroots initiatives, and educating others about the issues that matter most.

In my free time I love exploring the outdoors—cross‑country skiing in winter, kayaking in summer, and foraging for berries and mushrooms year‑round. These activities keep me grounded and remind me why protecting our natural heritage is so vital. Whether I’m drafting a sustainability report, strumming a chord, or trekking through the forest, I try to live in a way that respects the environment, supports my community, and encourages continuous learning."
5366,18-22,Men,Vetlanda,"Primary school, 9/10 years",Sweden Democrats (SD),149.72247501262413,21,"I’m a 21‑year‑old man living in Vetlanda, a modest town in Småland that feels like a big family. I grew up in a single‑storey house on the edge of the forest with my parents and two younger sisters. My dad works at the local paper mill, and my mom has been a part‑time cleaner at the school since I was a child. We never had a lot of extra cash, but there was always food on the table, a warm hearth in winter, and a strong sense that we could rely on each other.

My schooling stopped after the ninth year of compulsory education. I didn’t go on to gymnasium because I wanted to start earning and helping my family right away. After finishing school I took a job as an assistant in a small carpentry workshop owned by a neighbour. The work is hard, the wood smells of pine and varnish, and the days are long, but I like seeing something take shape from raw timber. It gives me a feeling of pride that I can contribute to building something tangible for our community.

When I’m not at the workshop, I spend my free time outdoors. The lakes and woods around Vetlanda are perfect for fishing, and I’ve learned to be patient waiting for a bite while the sun sets over the water. I also enjoy playing football with a local amateur team; the matches are informal, but the camaraderie on the pitch is something I look forward to each weekend. In the evenings I sometimes sit with friends at the corner pub, where we discuss everything from the latest hockey results to what’s happening in the national news.

My values are shaped by the everyday reality of life in a small town. I believe in personal responsibility, hard work, and looking after the people close to you. I’m proud of Swedish traditions—our holidays, our language, the simple pleasure of a fika with a fresh cinnamon bun. At the same time, I’m concerned about changes that feel too rapid or that seem to ignore the needs of people like my family. That’s why, in the last election, I voted for the Sweden Democrats. I felt they spoke most clearly about preserving our community, protecting our borders, and ensuring that public resources first go to those who have lived here all their lives. I’m not a racist; I just want a society where the rule of law is respected and where newcomers can integrate without overwhelming the places that already exist.

Looking ahead, I hope to finish an apprenticeship in carpentry and maybe one day run my own workshop. I also want to stay involved in local initiatives—whether it’s helping to maintain the town’s walking trails or organizing a youth football tournament. For me, a good life is built on solid work, reliable relationships, and a community that looks after its own."
1367,51-60,Women,Stockholm,Upper secondary school,Green Party (MP),572.7823441797217,53,"I am a 53‑year‑old woman living in the vibrant heart of Stockholm, a city that has shaped much of who I am. I grew up in a modest apartment on Södermalm, the sonorous hum of trams and the scent of fresh‑baked rye bread from the local bakery forming the soundtrack of my childhood. My parents both worked in the public sector—my mother as a school librarian and my father as a municipal engineer—so discussions around the dinner table often turned to community, civic responsibility, and the importance of looking after the environment. Those early conversations sparked a lifelong curiosity about how societies function and how we can make them more equitable and sustainable.

After completing upper secondary school, I entered the workforce rather than pursuing a university degree. I started as a clerk at a municipal office, learning the intricacies of city planning and public services. The job gave me a front‑row seat to the challenges of urban development, especially the tension between growth and green space preservation. It also introduced me to a network of like‑minded colleagues who shared my concern for climate issues. In my late twenties I transitioned to a role with a local environmental NGO, coordinating community clean‑up projects and educational workshops on recycling and energy efficiency. Those years were some of the most rewarding of my professional life; there is a special kind of satisfaction in seeing a neighborhood park transformed from a neglected lot into a thriving, pollinator‑friendly garden.

Family has been a central pillar of my life. I raised two children, now adults living in Gothenburg and Uppsala, who have inherited my love for nature and social justice. Their own commitments—to sustainable architecture and renewable energy research—fill me with pride and keep our dinner conversations fresh and forward‑looking. I also enjoy spending time with my two grandchildren, teaching them how to identify different bird calls in the city’s many parks and guiding them on bike rides along the water’s edge. Their enthusiasm reminds me why the fight for a greener future matters so much.

Outside of work and family, I am an avid cyclist and try to commute by bike whenever the weather permits. I find the simple act of pedaling through the city’s leafy avenues both meditative and empowering—a small, daily contribution to reducing emissions. I also tend a modest balcony garden where I grow herbs, lettuce, and occasional strawberries; the ritual of nurturing plants offers a tangible connection to the cycles of nature that I often advocate for in public debates.

My values are rooted in equality, solidarity, and ecological stewardship. I have voted for the Green Party (Miljöpartiet) in every national election since I first became politically active in my thirties, because their platform aligns with my belief that environmental policy must be inseparable from social justice. I am a regular participant in the city’s climate council meetings and volunteer with a local food‑cooperative that prioritizes organic, locally sourced produce. I also enjoy reading Swedish literature—especially works that explore the relationship between humans and the natural world—and attending public lectures on sustainable urban design.

In short, I am a Stockholm‑born, community‑oriented woman who has spent her adult life weaving together work, family, and activism in pursuit of a more just and greener society. My experiences have taught me that change often starts with small, consistent actions—whether it’s cycling to work, planting a garden, or raising a child who cares deeply about the planet. I remain hopeful that, together, we can continue to shape a future where both people and nature thrive."
10320,31-40,Women,Hässleholm,"Tertiary education, 2 years or longer",Social Democrats (S),296.59035539158066,35,"I’m a 35‑year‑old woman living in Hässleholm, a small but lively town nestled in the rolling countryside of Scania. I grew up in a nearby village, the daughter of a school‑teacher mother and a carpenter father, and the values of community, hard work, and fairness were woven into my everyday life from the start. After finishing gymnasium, I moved to Lund to study social work at the university, earning a bachelor’s degree and later a master’s in public health. Those two years of intensive study not only gave me a solid academic foundation but also opened my eyes to the ways that policy, health services, and social equality intersect.

When I returned to Hässleholm a few years ago, I took a position at the municipal health office, where I coordinate preventive health programs for seniors and families. The job lets me combine my professional training with a genuine desire to make a tangible difference in people’s lives. I’m especially proud of a recent project that introduced free fitness classes for residents over 65, which has already helped reduce isolation and improve mobility among participants. Seeing the community come together around a shared goal feels like a modern‑day expression of the solidarity I was taught to cherish.

Outside of work, I’m an avid hiker and photographer. The Skåne countryside offers endless trails, from the forested hills near Åstorp to the coastal dunes by Österlen. I love setting out early with my camera, trying to capture the soft morning light on the fields of rapeseed or the dramatic cliffs along the Baltic Sea. My photos often end up on the local community bulletin board, where they spark conversations about preserving our natural environment.

Family is a cornerstone of my life. My partner and I have a three‑year‑old daughter who fills our home with curiosity and laughter. We make a point of cooking meals together, favoring seasonal, locally sourced ingredients—something that aligns with my belief in sustainable living and supporting regional producers. On weekends we often visit the weekly market in Hässleholm, chat with neighbors, and exchange recipes.

Politically, I have consistently supported the Social Democrats. I appreciate their emphasis on a strong welfare state, universal health care, and policies that aim to reduce inequality. While I recognize the challenges of balancing fiscal responsibility with social investment, I remain hopeful that progressive, evidence‑based solutions can keep Sweden both prosperous and inclusive.

In short, I see myself as a pragmatic idealist: I work to improve public health, I cherish the simple pleasures of nature and community, and I strive to raise my daughter in a world where compassion and fairness are not just slogans but lived realities. My hope is that, through everyday actions and collective effort, we can continue to build a society where everyone—regardless of background or circumstance—has the chance to thrive."
